"","chemical","program","Year","state","measurements","type","value","carcinogen","hormone_disruptor","neurotoxins","developmental_or_reproductive_toxins","bee_toxins","toxicity_human_bee"
"36","ABAMECTIN","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.019,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"37","ABAMECTIN","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"38","ABAMECTIN","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",200,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"39","ABAMECTIN","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.026,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"40","ABAMECTIN","SURVEY",2018,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"41","ABAMECTIN","SURVEY",2016,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"42","ABAMECTIN","SURVEY",2016,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",34,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"43","ABAMECTIN","SURVEY",2018,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",22,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"44","ABAMECTIN","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.045,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"45","ABAMECTIN","SURVEY",2018,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"46","ACEQUINOCYL","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.294,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"47","ACEQUINOCYL","SURVEY",2019,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",32,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"48","ACEQUINOCYL","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.334,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"49","ACEQUINOCYL","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.47,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"50","ACEQUINOCYL","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"51","ACEQUINOCYL","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",2500,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"52","ACEQUINOCYL","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.297,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"53","ACEQUINOCYL","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.297,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"54","ACEQUINOCYL","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",5400,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"55","ACEQUINOCYL","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.2,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"56","ACEQUINOCYL","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.364,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"57","ACEQUINOCYL","SURVEY",2018,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",10,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"58","ACEQUINOCYL","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",1400,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"59","ACEQUINOCYL","SURVEY",2016,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"60","ACEQUINOCYL","SURVEY",2016,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",19,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"61","ACEQUINOCYL","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.6,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"62","ACEQUINOCYL","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"63","ACEQUINOCYL","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.1,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"64","ACEQUINOCYL","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"65","ACEQUINOCYL","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"66","ACETAMIPRID","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.4,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"67","ACETAMIPRID","SURVEY",2018,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"68","ACETAMIPRID","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",1200,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"69","ACETAMIPRID","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"70","ACETAMIPRID","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.124,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"71","ACETAMIPRID","SURVEY",2019,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",42,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"72","ACETAMIPRID","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.4,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"73","ACETAMIPRID","SURVEY",2018,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"74","ACETAMIPRID","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.182,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"75","ACETAMIPRID","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",2800,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"76","ACETAMIPRID","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"77","ACETAMIPRID","SURVEY",2016,"WASHINGTON"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"78","ACETAMIPRID","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.126,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"79","ACETAMIPRID","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.118,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"80","ACETAMIPRID","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.127,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"81","ACETAMIPRID","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.099,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"82","ACETAMIPRID","SURVEY",2016,"WASHINGTON"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"83","ACETAMIPRID","SURVEY",2018,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"84","ACETAMIPRID","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.3,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"85","ACETAMIPRID","SURVEY",2018,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"86","ACETAMIPRID","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.188,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"87","ACETAMIPRID","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"88","ACETAMIPRID","SURVEY",2019,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",13,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"89","ACETAMIPRID","SURVEY",2016,"WASHINGTON"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"90","ACETAMIPRID","SURVEY",2016,"WASHINGTON"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"91","ACETAMIPRID","SURVEY",2018,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"92","ACETAMIPRID","SURVEY",2016,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",46,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"93","ACETAMIPRID","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"94","ACETAMIPRID","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.5,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"95","ACETAMIPRID","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",3300,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"96","ACETAMIPRID","SURVEY",2016,"WASHINGTON"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"97","ACETAMIPRID","SURVEY",2018,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",20,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"98","ACETAMIPRID","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.165,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"99","ACETAMIPRID","SURVEY",2016,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"100","ACETAMIPRID","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",200,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","MODERATE",1
"101","ACIBENZOLAR-S-METHYL","SURVEY",2018,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"102","ACIBENZOLAR-S-METHYL","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"103","ACIBENZOLAR-S-METHYL","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"104","ACIBENZOLAR-S-METHYL","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"105","ACIBENZOLAR-S-METHYL","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"106","ACIBENZOLAR-S-METHYL","SURVEY",2016,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"107","ACIBENZOLAR-S-METHYL","SURVEY",2019,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"108","ACIBENZOLAR-S-METHYL","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"109","ACIBENZOLAR-S-METHYL","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"110","ACIBENZOLAR-S-METHYL","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"111","ACIBENZOLAR-S-METHYL","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"112","ACIBENZOLAR-S-METHYL","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"113","ACIBENZOLAR-S-METHYL","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"114","ACIBENZOLAR-S-METHYL","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"115","ACIBENZOLAR-S-METHYL","SURVEY",2019,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"116","ACIBENZOLAR-S-METHYL","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"117","ACIBENZOLAR-S-METHYL","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"118","ACIBENZOLAR-S-METHYL","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"119","ACIBENZOLAR-S-METHYL","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"120","ACIBENZOLAR-S-METHYL","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"121","ALKYL._DIM._BENZ._AM","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","OTHER",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
